method	threads	rows	median_time_seconds
/tmp/duckdb-rpc-socket	default	1	0.022
/tmp/duckdb-rpc-socket	default	10	0.02
/tmp/duckdb-rpc-socket	default	100	0.113
/tmp/duckdb-rpc-socket	default	1000	0.114
/tmp/duckdb-rpc-socket	default	10000	0.116
/tmp/duckdb-rpc-socket	default	100000	0.125
/tmp/duckdb-rpc-socket	default	1000000	0.202
/tmp/duckdb-rpc-socket	default	10000000	1.952
/tmp/duckdb-rpc-socket	default	100000000	19.18
wss://localhost:1294	default	1	0.034
wss://localhost:1294	default	10	0.033
wss://localhost:1294	default	100	0.129
wss://localhost:1294	default	1000	0.129
wss://localhost:1294	default	10000	0.199
wss://localhost:1294	default	100000	0.221
wss://localhost:1294	default	1000000	0.425
wss://localhost:1294	default	10000000	3.977
wss://localhost:1294	default	100000000	38.971
